ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
FZD10,1,0,0,0,0,0,0,0
FZD10-AS1,1,0,0,0,0,0,0,0
FZD2,1100,1016,1354,885,1295,1478,1087,1422
FZD3,7,8,4,2,5,8,7,7
FZD4,845,1167,1082,1317,872,1575,1189,2106
FZD4-DT,5,5,11,7,3,12,4,7
FZD5,23,67,19,86,19,64,10,113
FZD6,630,942,1012,1377,1502,3342,896,1722
FZD7,1613,880,2733,980,2196,2712,1988,1366
FZD8,24,121,57,138,46,335,27,189
FZD9,4,2,10,1,12,16,9,11
FZR1,905,684,922,438,980,980,723,665
G0S2,35,11,126,5,93,27,67,5
G2E3,312,296,330,240,348,457,281,355
G2E3-AS1,0,0,1,0,0,0,0,0
G3BP1,2949,2945,2823,2140,3133,4769,2255,2706
G3BP1P1,2,1,0,1,0,2,1,1
G3BP2,2867,2303,3175,1983,3670,4626,2607,2681
G6PC1,1,0,0,0,0,0,0,0
G6PC2,0,0,0,0,0,0,0,0
G6PC3,566,647,764,457,873,1209,625,662
G6PD,4539,4287,3693,1367,4058,3587,2922,2322
GAA,2818,2280,3124,1637,4535,5127,2392,2626
GAB1,949,667,1068,507,990,883,1076,865
GAB2,1119,1159,1267,1073,1376,1770,1062,1590
GAB3,51,64,49,42,64,104,50,87
GAB4,0,0,0,0,0,0,0,0
GABARAP,203,163,128,85,100,167,142,119
GABARAPL1,4147,5149,7978,5547,6812,10892,4451,7009
GABARAPL1-AS1,0,0,0,0,0,0,0,0
GABARAPL2,1316,1377,1415,1165,1397,2074,1113,1470
GABARAPL3,1,1,2,0,5,3,1,0
GABBR1,601,694,776,466,829,944,607,698
GABBR2,44,256,205,125,36,194,110,133
GABPA,814,571,973,498,1100,1180,767,711
GABPAP,83,51,102,42,147,139,66,76
GABPB1,260,295,319,157,411,444,270,218
GABPB1-AS1,197,227,164,96,350,284,194,187
GABPB2,313,336,386,304,422,568,283,305
GABRA1,0,0,0,0,0,0,0,0
GABRA2,0,0,0,0,0,0,0,0
GABRA3,0,1,0,0,0,0,0,0
GABRA4,0,0,0,0,0,0,0,0
GABRA5,1,0,1,3,0,2,1,0
GABRA6,0,0,0,0,0,0,0,0
GABRB1,0,0,0,0,1,0,0,0
GABRB2,0,0,0,0,0,0,0,0
GABRB3,140,118,45,25,14,6,108,98
GABRD,0,0,0,0,0,0,0,0
GABRE,191,76,167,39,333,317,187,116
GABRG1,0,0,0,0,0,0,0,0
GABRG2,0,0,0,0,0,0,0,0
GABRG3,0,0,0,0,0,0,0,0
GABRG3-AS1,0,0,0,0,0,0,0,0
GABRP,0,0,0,0,0,0,0,0
GABRQ,0,0,0,0,0,0,0,0
GABRR1,0,0,0,0,0,0,0,0
GABRR2,8,8,5,2,1,3,0,3
GABRR3,0,0,0,0,0,0,0,0
GACAT1,0,0,0,0,0,0,0,0
GACAT2,3,3,5,7,2,5,3,2
GACAT3,0,0,0,0,0,0,0,0
GAD1,3,3,5,0,0,1,3,2
GAD2,0,0,0,0,0,0,0,0
GADD45A,1360,1584,1576,1128,2168,1781,1108,1348
GADD45B,197,540,299,308,218,807,143,491
GADD45G,28,10,11,4,10,1,30,5
GADD45GIP1,465,485,627,334,523,847,441,480
GADL1,28,1,31,5,3,5,30,9
GAGE1,0,0,0,0,0,0,0,0
GAGE10,1,0,1,0,0,0,0,0
GAGE12B,0,0,0,0,0,0,0,0
GAGE12C,0,0,0,0,0,0,0,0
GAGE12D,0,0,0,0,0,0,0,0
GAGE12E,0,0,0,0,0,0,0,0
GAGE12F,0,0,0,0,0,0,0,0
GAGE12G,0,0,0,0,0,0,0,0
GAGE12H,0,0,0,0,0,0,0,0
GAGE12J,0,0,0,0,0,0,0,0
GAGE2A,0,0,0,0,0,0,0,0
GAK,1368,1357,1494,887,1598,2063,1197,1456
GAL,5,2,7,2,12,9,5,2
GAL3ST1,1,8,3,1,2,12,6,6
GAL3ST2,0,1,0,0,3,1,1,0
GAL3ST3,0,0,1,0,0,2,0,1
GAL3ST4,696,473,537,236,564,427,400,370
GALC,654,666,702,480,753,1091,470,649
GALE,122,97,118,37,85,146,64,49
GALK1,210,203,202,111,186,292,180,222
GALK2,196,173,203,166,225,248,208,231
GALM,761,308,777,220,789,390,752,366
GALNS,667,651,649,344,908,1132,449,530
GALNT1,1929,1509,2174,1167,1830,1979,1795,1573
GALNT10,2501,2637,3544,2768,2963,5190,2378,3479
GALNT11,892,925,1102,683,1184,1726,819,952
GALNT12,487,234,648,123,198,121,355,169
GALNT13,7,4,2,3,0,1,3,0
GALNT14,31,42,40,18,19,36,23,20
GALNT15,5613,12745,7785,13192,9922,28672,2747,13295
GALNT16,643,281,710,210,713,460,467,210
GALNT17,8,25,48,70,1,4,13,18
GALNT18,84,46,71,41,68,79,70,42
GALNT2,4051,4342,3901,2551,4814,6631,3534,4206
GALNT3,22,23,26,17,22,22,18,40
GALNT4,25,17,15,7,10,31,17,13
GALNT5,2137,1433,2903,1223,4146,5022,2796,2468
GALNT6,89,56,265,133,286,271,125,64
GALNT7,292,353,358,296,437,597,330,396
GALNT8,0,1,3,1,1,0,1,5
GALNT9,0,0,0,1,2,1,0,0
GALNTL5,0,0,0,0,0,0,0,0
GALNTL6,8,3,2,0,1,0,1,0
GALP,0,0,0,0,0,0,0,0
GALR1,0,0,0,0,0,0,0,0
GALR2,0,1,1,0,2,1,1,0
GALR3,0,0,0,0,0,0,0,0
GALT,152,120,224,75,174,141,156,109
GAMT,506,308,477,204,458,438,351,306
GAMTP2,0,0,0,0,0,0,0,0
GAN,162,197,149,138,178,235,137,175
GANAB,9266,8962,11677,7068,9836,11977,7776,8831
GANC,390,380,515,268,416,460,352,466
GAP43,9,2,13,3,6,4,8,12
GAPDH,30823,22361,35250,15386,31855,45761,21497,18722
GAPDHP1,599,473,641,299,128,180,53,41
GAPDHP14,1,0,2,0,0,0,0,0
GAPDHP15,0,0,1,0,1,2,0,0
GAPDHP16,0,1,0,0,0,0,0,0
GAPDHP17,0,0,0,0,0,0,0,0
GAPDHP19,0,0,0,0,0,0,0,0
GAPDHP2,1,0,0,0,0,4,2,0
GAPDHP20,0,0,0,0,0,0,0,0
GAPDHP21,0,0,0,0,0,0,0,0
GAPDHP22,0,0,1,0,1,0,0,0
GAPDHP23,0,0,0,0,0,0,0,0
GAPDHP24,0,0,0,0,0,0,0,0
GAPDHP25,0,0,0,0,0,0,0,0
GAPDHP26,0,0,0,0,0,0,0,0
GAPDHP27,0,0,0,0,0,0,0,0
GAPDHP28,0,0,0,0,0,0,0,0
GAPDHP29,0,0,0,0,0,0,0,0
GAPDHP30,0,0,0,0,0,0,0,0
GAPDHP31,0,0,0,0,0,0,0,0
GAPDHP32,0,0,0,0,0,0,0,0
GAPDHP33,0,0,0,0,0,0,0,0
GAPDHP34,0,0,0,0,0,0,0,0
GAPDHP35,10,7,4,2,0,1,1,2
GAPDHP36,0,0,0,0,0,0,0,0
GAPDHP37,0,0,0,0,0,0,0,0
GAPDHP38,0,1,1,2,3,9,0,1
GAPDHP39,0,0,0,0,0,0,0,0
GAPDHP40,1,5,5,1,5,8,2,1
GAPDHP42,1,0,1,0,1,0,2,1
GAPDHP43,1,0,2,1,1,1,0,1
GAPDHP44,2,0,1,0,1,2,2,2
GAPDHP45,1,0,0,0,0,0,0,0
GAPDHP46,0,1,2,0,0,1,0,0
GAPDHP47,0,0,1,1,0,0,0,0
GAPDHP48,0,0,0,0,0,0,0,0
GAPDHP49,0,0,0,0,0,0,0,0
GAPDHP50,0,0,0,0,0,0,0,0
GAPDHP51,0,0,0,0,0,0,0,0
GAPDHP52,0,0,0,0,1,0,0,1
GAPDHP53,0,0,0,0,0,0,0,0
GAPDHP54,0,0,0,0,0,0,0,0
GAPDHP55,0,0,0,0,0,0,0,0
GAPDHP56,0,0,0,0,0,0,0,0
GAPDHP57,0,0,0,0,0,0,0,0
GAPDHP58,0,0,0,0,0,1,1,1
GAPDHP59,0,1,0,0,1,2,0,0
GAPDHP60,4,4,4,1,2,7,3,2
GAPDHP61,2,4,2,1,7,6,0,0
GAPDHP62,0,0,0,0,0,0,0,0
GAPDHP63,7,7,3,5,9,18,6,10
GAPDHP64,0,0,0,0,0,0,0,0
GAPDHP65,21,15,20,9,31,33,13,20
GAPDHP66,0,0,0,0,0,0,0,0
GAPDHP67,0,0,0,0,0,0,0,0
GAPDHP68,0,0,0,0,1,0,0,0
GAPDHP69,0,0,1,0,0,0,0,1
GAPDHP70,3,0,0,1,4,9,1,4
GAPDHP71,1,1,1,0,1,2,1,0
GAPDHP72,3,4,2,0,3,4,2,0
GAPDHP73,1,0,0,3,0,2,0,0
GAPDHP74,0,0,0,0,0,0,0,0
GAPDHP75,0,0,0,0,0,0,0,0
GAPDHP76,0,0,0,0,0,0,0,0
GAPDHP77,0,0,0,0,0,0,0,0
GAPDHS,0,0,0,0,0,0,0,0
GAPLINC,15,7,18,16,41,26,11,5
GAPT,0,0,0,0,0,0,0,0
GAPVD1,983,966,1093,707,1236,1494,796,1000
GAR1,156,108,134,84,165,214,106,111
GAR1-DT,0,1,2,1,2,0,1,0
GAREM1,104,96,104,76,189,253,74,109
GAREM2,158,130,245,134,192,333,186,172
GARNL3,63,45,66,29,53,60,67,39
GARRE1,663,679,827,719,826,1379,663,1115
GARS1,3061,2268,3899,1652,4016,4170,2909,2187
GARS1-DT,389,244,465,200,519,482,358,254
GARS1P1,0,0,0,0,0,0,0,0
GART,1042,1126,1163,618,1275,1651,962,1070
GAS1,1156,1422,2220,1139,1409,2677,1414,1388
GAS1RR,35,39,97,31,40,61,56,36
GAS2,7,3,13,4,4,9,7,6
GAS2L1,361,447,337,224,375,408,315,379
GAS2L1P1,0,0,0,0,0,0,0,0
GAS2L1P2,0,0,2,1,0,0,0,0
GAS2L2,0,0,0,0,0,0,0,0
GAS2L3,190,94,142,45,251,95,150,68
GAS5,7672,7905,4997,2300,4337,4701,3482,3370
GAS5-AS1,10,10,15,9,12,16,4,4
GAS6,5230,6024,12654,7672,19351,32836,6505,8668
GAS6-AS1,18,4,18,7,15,20,4,4
GAS6-DT,108,181,197,159,266,573,99,195
GAS7,404,114,309,42,277,144,1343,730
GAS8,107,100,224,89,160,217,138,134
GAS8-AS1,2,0,5,0,1,1,1,0
GASAL1,9,2,11,4,20,19,14,4
GASK1A,167,310,104,83,10,34,66,149
GASK1B,3286,7047,4463,5484,4304,9637,3154,7330
GAST,0,0,0,0,0,0,0,0
GATA1,0,0,0,0,0,0,0,0
GATA2,249,219,190,95,121,124,345,298
GATA2-AS1,92,95,89,42,102,88,98,105
GATA3,0,2,3,0,0,4,0,0
GATA3-AS1,0,0,0,0,0,0,0,0
GATA4,0,0,0,0,0,0,0,0
GATA5,0,0,0,0,0,0,0,0
GATA6,111,45,218,79,107,132,137,82
GATA6-AS1,15,11,26,4,19,7,11,11
GATAD1,978,890,1131,622,1333,1471,928,1002
GATAD2A,1254,1048,1166,632,1288,1387,1038,981
GATAD2B,644,559,658,471,784,817,588,672
GATB,379,266,421,208,462,403,302,294
GATC,257,252,259,173,222,301,175,203
GATD1,1374,1314,1322,790,1409,1777,1189,1226
GATD3A,1102,995,1224,687,1153,1463,933,1071
GATM,2,2,4,0,1,0,0,4
GAU1,0,0,0,1,0,2,0,0
GBA,3039,2022,3704,1738,3546,3465,2816,2523
GBA2,726,877,736,559,865,1290,554,829
GBA3,1,4,1,1,1,10,0,2
GBAP1,805,545,922,417,873,852,751,640
GBE1,3934,4225,1793,1521,4574,6801,3044,4105
GBF1,2811,2146,3047,1622,3042,3491,2261,2312
GBGT1,46,44,51,30,23,17,24,34
GBP1,975,1337,1395,820,988,1906,840,797
GBP1P1,57,56,55,23,45,60,38,26
GBP2,1212,1153,1892,860,1815,1474,1186,1020
GBP3,150,84,202,63,1562,1578,819,577
GBP4,51,20,89,25,98,63,42,40
GBP5,7,2,6,1,2,3,12,4
GBP6,0,0,2,0,0,0,0,1
GBP7,1,0,1,0,3,1,1,0
GBX1,0,1,0,1,0,0,0,0
GBX2,0,0,0,0,0,1,1,0
GC,0,0,0,0,0,0,0,0
GCA,105,105,98,107,104,175,100,154
GCAT,99,143,111,99,92,207,84,150
GCATP1,0,0,2,0,2,4,0,0
GCC1,605,510,704,399,628,811,578,528
GCC2,1363,1107,1580,814,1978,2244,1105,1060
GCC2-AS1,8,0,14,3,9,4,5,1
GCDH,182,217,196,139,160,282,130,189
GCFC2,214,216,282,182,318,422,238,252
GCG,0,1,0,1,0,0,0,1
GCGR,0,0,0,0,0,1,0,1
GCH1,41,83,54,82,38,160,45,174
GCHFR,51,110,77,89,59,174,60,194
GCK,42,33,39,12,33,26,22,29
GCKR,5,8,5,1,3,5,6,3
GCLC,519,380,595,493,820,714,696,704
GCLM,990,1611,1304,1842,1364,4543,1237,2884
GCM1,0,0,0,0,0,1,0,0
GCM2,0,0,0,0,1,0,0,0
GCN1,2850,2605,2690,1485,3014,4404,2199,2511
GCNA,37,38,39,19,35,37,21,41
GCNAP1,0,0,0,0,0,0,0,0
GCNT1,998,1296,2184,1622,785,3196,1697,1967
GCNT1P1,1,0,0,0,0,1,0,0
GCNT1P2,0,0,0,0,0,0,0,0
GCNT1P3,0,0,1,0,0,0,0,0
GCNT1P4,0,0,0,0,0,0,0,0
GCNT1P5,0,0,0,0,0,0,0,0
GCNT2,17,30,16,41,67,127,17,28
GCNT2P1,0,0,0,0,0,0,2,0
GCNT3,7,0,3,2,7,2,4,1
GCNT4,58,107,168,289,158,1227,84,216
GCNT7,7,3,9,0,8,12,5,3
GCOM1,0,0,0,0,0,0,0,0
GCOM2,162,90,179,88,176,191,124,126
GCSAM,3,0,3,2,5,7,0,1
GCSAML,0,0,0,0,0,0,0,0
GCSH,161,144,143,92,178,190,144,119
GCSHP1,0,0,0,0,0,0,0,0
GCSHP2,0,0,0,0,0,0,0,0
GCSHP3,0,0,0,0,0,0,0,0
GCSHP4,0,0,0,0,0,0,0,0
GCSHP5,118,120,160,85,178,191,128,91
GCSIR,0,0,0,0,0,0,0,0
GDA,0,0,0,0,0,0,1,0
GDAP1,172,142,184,84,89,109,126,112
GDAP1L1,5,0,2,1,3,0,0,0
GDAP2,237,191,285,134,296,323,196,209
GDE1,1941,1825,2481,1676,2858,3584,1729,2105
GDF1,0,0,0,0,0,0,0,0
GDF10,0,0,0,0,0,0,0,0
GDF11,686,436,690,307,748,610,537,409
GDF15,927,206,506,77,898,360,675,166
GDF2,0,0,0,0,0,0,0,0
GDF3,0,0,0,0,0,0,0,0
GDF5,404,140,546,79,293,266,262,94
GDF5-AS1,4,1,1,0,2,1,0,0
GDF6,14,4,16,4,10,6,6,0
GDF7,26,87,67,110,48,385,37,88
GDF9,1,3,9,9,4,3,2,4
GDI1,2061,2028,2483,1425,2527,3166,1705,2125
GDI2,3670,3041,3815,2234,3766,4671,2961,3003
GDI2P1,0,0,0,0,0,0,0,0
GDI2P2,54,49,53,38,52,70,51,40
GDNF,69,180,95,234,170,471,87,447
GDNF-AS1,54,61,60,49,82,79,95,111
GDPD1,23,11,15,6,27,19,20,22
GDPD2,3,1,3,2,3,6,4,3
GDPD3,113,79,87,45,65,88,62,86
GDPD4,6,10,6,9,0,3,1,11
GDPD5,377,490,777,754,267,661,506,1041
GDPGP1,20,13,40,17,29,29,15,26
GEM,1927,1726,1916,1964,1571,2433,1567,2765
GEMIN2,91,67,93,65,70,84,61,74
GEMIN2P1,0,0,0,0,0,0,0,0
GEMIN2P2,0,0,0,1,0,0,0,0
GEMIN4,568,525,528,362,586,699,561,619
GEMIN5,437,432,434,344,544,702,402,434
GEMIN6,130,110,145,85,151,157,144,112
GEMIN7,65,77,75,62,79,86,62,60
GEMIN7-AS1,2,4,5,1,3,2,5,3
GEMIN7P1,0,0,0,0,0,0,0,0
GEMIN8,323,347,380,216,364,444,403,379
GEMIN8P1,0,0,0,0,0,0,0,0
GEMIN8P2,0,0,0,0,0,0,0,0
GEMIN8P3,0,0,0,0,0,0,0,0
GEMIN8P4,5,0,8,0,2,6,2,0
GEN1,135,138,215,109,176,217,132,123
GET1,741,732,831,633,705,956,570,707
GET3,1352,1298,1420,788,1477,1697,914,1085
GET4,12,8,13,3,10,17,10,9
GFAP,1,1,0,0,1,1,4,0
GFER,177,198,162,87,146,227,151,161
GFI1,3,4,2,1,3,2,0,1
GFI1B,0,0,0,0,0,0,0,0
GFM1,747,623,738,456,858,998,654,611
GFM2,308,261,445,232,502,628,260,262
GFOD1,137,207,122,159,144,159,73,190
GFOD1-AS1,0,0,0,0,0,0,0,0
GFOD2,306,206,277,160,324,354,262,227
GFPT1,1830,1596,2029,1251,2638,3428,1512,1529
GFPT2,671,1811,668,964,648,1028,530,1547
GFRA1,2009,1338,3909,1316,548,416,1399,1450
GFRA2,2,0,3,0,1,0,3,0
GFRA3,0,0,0,0,0,0,0,0
GFRA4,0,0,0,0,0,0,0,0
GFRAL,0,0,0,0,0,0,0,0
GFUS,569,458,536,258,553,678,419,384
GFY,0,0,0,0,0,0,0,0
GGA1,840,706,821,414,834,1045,649,630
GGA2,1552,1034,1535,661,1339,1234,1430,1049
GGA3,560,576,804,383,702,869,466,583
GGACT,60,60,68,45,57,65,45,63
GGCT,207,186,216,101,289,333,171,133
GGCTP1,3,3,1,1,2,4,4,0
GGCTP2,0,0,0,0,0,0,0,0
GGCTP3,0,0,0,0,0,0,0,0
GGCX,1127,678,1293,588,1356,1761,1026,966
GGH,206,225,323,241,252,373,158,244
GGN,16,14,30,7,22,49,35,19
GGNBP1,0,0,1,1,0,0,0,0
GGPS1,564,465,701,417,581,684,517,501
GGT1,41,41,79,33,36,58,42,32
GGT2,4,1,7,1,3,7,2,3
GGT3P,5,4,7,0,2,5,2,1
GGT5,30,145,325,689,249,2328,112,527
GGT6,0,1,0,0,0,0,0,0
GGT7,678,624,766,406,712,823,557,651
GGT8P,0,0,0,0,0,0,0,0
GGTA1,5,5,3,6,3,4,4,5
GGTA2P,0,0,2,0,1,2,0,0
GGTLC1,0,1,1,0,0,0,0,0
GGTLC2,4,6,12,6,3,13,4,3
GGTLC4P,4,6,12,8,13,94,7,16
GH1,0,0,0,0,0,0,0,0
GH2,0,0,0,0,0,0,0,0
GHDC,414,549,432,352,314,447,250,412
GHITM,2317,2168,2724,1772,2725,3196,2038,2035
GHR,158,139,127,81,53,58,114,149
GHRH,0,0,0,0,0,0,0,0
GHRHR,0,0,0,0,2,0,0,0
GHRL,1,2,2,2,5,3,1,2
GHRLOS,2,1,5,1,4,3,1,1
GHSR,0,0,0,0,0,0,0,0
GID4,467,459,517,410,641,719,427,577
GID8,464,376,497,316,438,532,440,459
GIGYF1,1796,1928,1722,1158,1609,2023,1259,1662
GIGYF2,1884,1666,1924,1191,2208,2843,1701,1818
GIHCG,92,62,113,43,110,117,85,71
GIMAP1,1,0,0,0,0,0,0,0
GIMAP2,17,14,6,5,1,3,3,10
GIMAP3P,0,0,0,0,0,0,0,0
GIMAP4,0,0,0,0,0,0,0,0
GIMAP5,0,0,0,0,0,0,0,0
GIMAP6,0,0,0,0,0,0,1,3
GIMAP7,0,0,0,0,0,0,0,0
GIMAP8,0,0,0,0,1,1,0,0
GIMD1,0,0,0,0,0,0,0,0
GIN1,95,69,88,40,91,126,71,55
GINM1,1911,1942,2875,2121,2576,3516,2011,2506
GINS1,26,24,33,26,20,31,46,17
GINS2,33,18,21,9,23,27,25,14
GINS3,46,44,40,22,45,41,28,35
GINS4,82,33,96,67,82,60,88,44
GIP,1,1,2,3,2,0,3,1
GIPC1,1276,1226,1230,762,1222,1954,983,1181
GIPC2,7,15,19,43,6,17,9,25
GIPC3,8,11,7,9,4,6,13,10
GIPR,11,5,29,6,23,12,22,12
GIT1,990,1388,912,880,1268,1636,915,1593
GIT2,736,816,1020,799,880,1574,691,1112
GJA1,2310,1448,3350,1893,3226,3676,2546,2151
GJA10,0,0,0,0,0,0,0,0
GJA1P1,13,8,27,12,24,25,19,12
GJA3,133,60,36,17,46,72,390,107
GJA4,0,0,0,0,0,0,0,2
GJA5,0,0,0,0,0,0,0,0
GJA6P,0,0,0,0,0,0,0,0
GJA8,0,0,0,0,0,0,0,0
GJA9,1,1,1,0,2,1,0,1
GJB1,0,0,0,0,0,0,0,0
GJB2,0,0,0,0,0,1,1,0
GJB3,0,0,0,1,0,0,0,0
GJB4,0,0,0,0,0,0,0,0
GJB5,2,1,0,0,1,0,1,1
GJB6,0,0,0,0,0,0,0,0
GJB7,2,0,0,0,0,0,0,0
GJC1,498,310,423,208,529,510,353,310
GJC2,100,62,121,34,45,50,100,52
GJC3,0,0,3,0,1,0,2,0
GJD2,0,0,0,0,0,0,0,0
GJD3,5,2,7,1,2,6,6,6
GJD4,2,1,2,0,1,1,0,1
GJE1,0,0,0,0,0,0,0,0
GK,253,335,202,119,451,1439,143,226
GK-AS1,7,13,6,4,17,37,6,6
GK-IT1,0,0,0,0,0,0,0,0
GK2,0,0,0,0,0,0,0,0
GK3P,5,7,7,3,21,52,5,7
GK4P,57,55,29,24,80,295,31,39
GK5,374,419,391,417,502,940,537,770
GKAP1,22,26,34,12,43,37,41,23
GKN1,0,0,0,0,0,0,0,0
GKN2,0,0,0,0,0,0,0,0
GLA,308,260,333,165,398,399,266,257
GLB1,2155,1902,2651,1577,2448,2587,1919,2006
GLB1L,213,132,391,169,182,203,287,246
GLB1L2,5,8,1,1,1,1,0,0
GLB1L3,0,0,0,0,0,0,0,0
GLCCI1,157,212,243,233,217,295,137,234
GLCCI1-DT,0,0,0,0,2,1,1,0
GLCE,861,1344,1083,1327,1479,3062,901,1781
GLDC,0,0,2,1,5,0,3,0
GLDCP1,0,0,0,1,0,0,0,0
GLDN,957,652,743,362,2424,1297,433,552
GLE1,583,594,680,486,563,877,464,605
GLG1,5427,4076,6802,3341,5404,5925,4884,4996
GLI1,25,26,18,1,25,8,18,5
GLI2,485,192,597,145,555,421,414,266
GLI3,990,655,1035,386,1173,936,896,660
GLI4,242,217,219,109,255,316,200,191
GLIPR1,1230,1199,2173,1053,1895,2702,1692,1266
GLIPR1L1,7,7,9,5,12,11,14,5
GLIPR1L2,7,5,25,9,20,16,19,12
GLIPR2,1501,1242,1352,713,1437,1148,1413,1204
GLIS1,88,176,69,22,237,291,84,67
GLIS2,672,565,1276,496,633,689,799,861
GLIS2-AS1,8,3,2,3,6,4,5,4
GLIS3,548,613,727,511,685,1175,640,804
GLIS3-AS1,0,1,0,0,0,0,0,0
GLMN,141,133,132,102,161,182,114,89
GLMP,1764,1319,1910,997,1962,2197,1504,1499
GLO1,1443,1348,1924,1233,1842,2387,1224,1420
GLOD4,740,517,764,417,817,744,649,573
GLOD5,0,0,0,0,0,0,0,0
GLP1R,0,0,0,0,0,0,0,0
GLP2R,2,8,3,0,11,12,0,0
GLRA1,0,0,0,0,1,1,0,0
GLRA2,2,1,1,0,2,8,0,1
GLRA3,0,0,0,0,0,0,0,0
GLRA4,0,1,1,0,0,1,0,1
GLRB,281,165,499,312,524,481,298,288
GLRX,1145,2262,1768,1955,1787,3723,1074,2325
GLRX2,94,104,93,81,84,123,81,70
GLRX3,659,666,720,442,730,985,624,551
GLRX3P2,7,10,4,4,4,8,9,6
GLRX5,423,414,421,247,457,547,354,353
GLRX5P1,0,0,0,0,0,3,0,0
GLRX5P2,0,1,0,0,0,0,0,0
GLRX5P3,0,0,1,0,1,0,1,0
GLRXP1,0,0,0,0,0,1,0,0
GLRXP2,0,0,0,0,0,0,0,0
GLRXP3,0,1,5,1,8,19,1,10
GLS,2217,4220,2498,4022,2587,8046,2727,4739
GLS2,24,19,48,20,29,41,31,21
GLT1D1,4,0,1,0,3,1,2,0
GLT6D1,0,0,0,0,0,0,0,0
GLT8D1,1544,1449,1854,1220,1483,1726,1590,1684
GLT8D2,857,540,1464,677,1382,1229,1023,842
GLTP,817,873,1231,697,1293,1782,839,1049
GLTPD2,15,6,16,8,13,10,19,9
GLTPP1,0,0,0,0,0,0,0,0
GLUD1,2426,2479,2767,2083,2716,3529,2198,2803
GLUD1P2,0,0,0,0,0,0,0,0
GLUD1P3,39,26,39,27,35,38,42,44
GLUD1P4,0,0,0,0,0,1,0,2
GLUD1P9,0,0,0,0,0,0,0,0
GLUD2,309,307,285,209,247,363,223,347
GLUL,5065,38018,4976,22220,5275,24433,3445,43876
GLULP3,1,0,1,0,0,0,0,0
GLULP4,7,73,5,43,4,30,6,83
GLULP5,0,0,0,0,0,0,0,0
GLULP6,0,0,0,0,0,0,0,0
GLYAT,0,0,0,1,0,0,0,0
GLYATL1,7,1,5,0,10,7,6,2
GLYATL1B,0,0,0,0,0,0,0,0
GLYATL1P1,0,0,0,0,0,0,0,0
GLYATL1P2,1,2,0,3,4,1,0,1
GLYATL1P4,0,0,0,0,0,0,0,0
GLYATL2,28,25,55,72,30,43,44,54
GLYATL3,0,0,0,0,0,0,0,0
GLYCAM1,0,0,0,0,0,0,0,0
GLYCTK,35,37,39,19,39,41,21,30
GLYCTK-AS1,2,0,3,0,1,1,1,0
GLYR1,1058,981,1322,578,1436,1773,919,901
GM2A,1265,1317,1525,1026,1610,2471,1272,1886
GM2AP1,0,0,0,0,0,0,0,0
GM2AP2,0,0,0,0,0,0,0,0
GMCL1,311,365,301,258,304,451,229,323
GMCL1P2,0,0,0,0,0,0,0,0
GMCL2,0,4,0,2,1,2,2,1
GMDS,475,299,382,172,450,407,283,234
GMDS-DT,104,73,132,64,121,85,111,81
GMEB1,247,216,288,135,285,352,192,173
GMEB2,378,301,358,205,382,447,305,320
GMFB,1469,1762,1704,1738,1643,3336,1421,1944
GMFBP1,0,0,0,0,0,0,0,0
GMFG,5,1,3,1,2,2,2,1
GMIP,137,116,193,70,199,255,150,138
GML,0,0,0,0,0,0,0,0
GMNC,0,2,5,1,8,26,4,8
GMNN,138,124,107,63,188,179,72,103
GMPPA,862,682,817,340,743,1127,587,550
GMPPB,3,3,0,0,0,2,0,0
GMPR,158,105,249,224,240,344,133,195
GMPR2,1093,1115,1272,799,1185,1384,923,1094
GMPS,1137,947,1236,681,1279,1499,985,969
GMPSP1,34,27,42,19,42,49,30,26
GNA11,1197,1209,1254,754,1190,1786,1029,1233
GNA12,3064,3015,2819,2041,2901,4607,2217,3400
GNA13,1309,1158,1182,827,1248,1413,1089,1124
GNA13P1,0,0,0,0,0,0,0,0
GNA14,88,56,172,69,59,77,63,85
GNA14-AS1,0,0,0,0,0,0,0,0
GNA15,0,0,1,0,0,0,0,0
GNA15-DT,0,0,0,0,1,2,0,0
GNAI1,425,521,419,351,730,1068,296,542
GNAI2,7065,6171,8318,4392,7984,9400,6002,6293
GNAI2P1,0,0,0,0,0,0,0,0
GNAI2P2,0,0,0,0,0,1,0,0
GNAI3,1977,1642,1783,1289,1912,2458,1644,1719
GNAL,38,38,34,20,56,48,25,27
GNAO1,3,4,4,1,4,1,1,1
GNAO1-AS1,0,0,0,0,0,0,0,0
GNAQ,1339,1395,1815,1197,2058,2866,1385,1719
GNAQP1,9,15,19,10,13,31,8,23
GNAS,13347,10814,19328,10854,18854,20865,15461,15337
GNAS-AS1,4,5,6,6,9,4,5,6
GNAT1,0,0,0,0,0,0,0,0
GNAT2,13,10,7,0,17,12,5,7
GNAT3,0,0,0,0,0,0,0,0
GNAZ,11,13,8,7,4,18,13,8
GNB1,6568,6218,8218,5131,7884,11203,5980,7053
GNB1L,67,84,44,31,69,111,46,37
GNB2,2431,2786,2483,1697,2688,3932,2117,2935
GNB3,45,40,53,21,47,41,54,38
GNB4,881,1180,724,905,842,1825,689,1542
GNB5,511,429,567,300,502,580,485,549
GNE,485,463,533,345,545,712,370,514
GNG10,1,1,3,1,1,6,4,2
GNG10P1,0,0,0,0,0,0,0,0
