"","ensgene","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521","hgnc_symbol"
"8375","ENSG00000142875",1183,668,1290,543,1616,1250,1144,733,"PRKACB"
"8376","ENSG00000142892",1210,1077,1533,1052,1395,1582,1060,1384,"PIGK"
"8377","ENSG00000142910",5,11,207,201,186,461,30,58,"TINAGL1"
"8378","ENSG00000142920",51,45,61,23,92,100,33,32,"AZIN2"
"8379","ENSG00000142937",19899,18743,20592,9981,17668,19940,13408,13028,"RPS8"
"8380","ENSG00000142945",33,34,26,17,19,31,26,21,"KIF2C"
"8381","ENSG00000142949",1963,1073,3227,1189,2925,4280,2021,1903,"PTPRF"
"8382","ENSG00000142959",3,3,10,2,9,7,2,2,"BEST4"
"8383","ENSG00000142961",343,358,397,262,421,423,356,407,"MOB3C"
"8384","ENSG00000142973",0,0,0,0,0,2,0,4,"CYP4B1"
"8385","ENSG00000143001",0,1,2,4,1,0,0,2,"TMEM61"
"8386","ENSG00000143006",0,0,0,0,0,0,0,0,"DMRTB1"
"8387","ENSG00000143013",1853,1248,2091,967,1869,1542,1519,1239,"LMO4"
"8388","ENSG00000143028",37,50,92,143,25,88,93,216,"SYPL2"
"8389","ENSG00000143032",0,0,0,0,0,0,0,0,"BARHL2"
"8390","ENSG00000143033",178,110,187,97,210,227,152,112,"MTF2"
"8391","ENSG00000143036",92,103,146,132,57,115,87,123,"SLC44A3"
"8392","ENSG00000143061",15,4,6,4,4,4,4,2,"IGSF3"
"8393","ENSG00000143067",316,203,293,88,371,265,211,112,"ZNF697"
"8394","ENSG00000143079",1288,1136,1537,916,1986,3610,1007,1245,"CTTNBP2NL"
"8395","ENSG00000143093",1060,886,1138,636,1232,1420,913,986,"STRIP1"
"8396","ENSG00000143105",0,0,0,0,0,0,0,0,"KCNA10"
"8397","ENSG00000143106",918,1048,1108,894,967,1712,777,1044,"PSMA5"
"8398","ENSG00000143107",0,1,1,0,0,0,0,0,"FNDC7"
"8399","ENSG00000143110",9,11,9,5,8,12,9,8,"C1orf162"
"8400","ENSG00000143119",0,1,0,0,0,0,0,0,"CD53"
"8401","ENSG00000143125",0,1,0,1,0,2,0,3,"PROK1"
"8402","ENSG00000143126",47,27,101,65,60,98,67,55,"CELSR2"
"8403","ENSG00000143127",11,108,24,485,41,607,77,660,"ITGA10"
"8404","ENSG00000143140",0,0,0,0,0,0,0,0,NA
"8405","ENSG00000143147",612,653,596,339,567,737,501,723,"GPR161"
"8406","ENSG00000143149",2279,2501,2858,1550,2961,3143,1673,1678,"ALDH9A1"
"8407","ENSG00000143153",70,84,345,358,119,248,366,505,"ATP1B1"
"8408","ENSG00000143155",601,646,734,483,813,838,520,584,"TIPRL"
"8409","ENSG00000143156",224,188,333,182,282,221,187,207,"NME7"
"8410","ENSG00000143157",841,807,837,599,851,1101,719,879,"POGK"
"8411","ENSG00000143158",397,315,488,252,614,540,359,308,"MPC2"
"8412","ENSG00000143162",3665,3159,3330,2267,4332,4853,2535,2670,"CREG1"
"8413","ENSG00000143164",2009,2194,2830,1998,3386,4555,1967,2849,"DCAF6"
"8414","ENSG00000143167",0,0,0,0,0,0,1,0,"GPA33"
"8415","ENSG00000143171",2,1,0,0,0,0,3,0,"RXRG"
"8416","ENSG00000143178",73,74,98,69,78,86,70,83,"TBX19"
"8417","ENSG00000143179",692,732,825,537,868,1733,615,633,"UCK2"
"8418","ENSG00000143183",1121,1162,1495,970,1680,2210,1038,1128,"TMCO1"
"8419","ENSG00000143184",0,1,1,0,0,1,0,0,"XCL1"
"8420","ENSG00000143185",0,0,0,0,0,0,0,1,"XCL2"
"8421","ENSG00000143190",331,269,381,222,405,387,371,360,"POU2F1"
"8422","ENSG00000143194",0,0,0,0,0,0,0,0,"MAEL"
"8423","ENSG00000143195",1,1,0,1,1,1,0,0,"ILDR2"
"8424","ENSG00000143196",632,1172,1886,2128,208,753,2311,3549,"DPT"
"8425","ENSG00000143198",1410,1275,1625,968,1665,2059,1197,1232,"MGST3"
"8426","ENSG00000143199",5,4,4,2,6,5,0,4,"ADCY10"
"8427","ENSG00000143207",551,422,574,429,602,678,473,494,"COP1"
"8428","ENSG00000143217",2,3,4,2,5,1,3,0,"NECTIN4"
"8429","ENSG00000143222",763,692,958,547,907,1053,676,691,"UFC1"
"8430","ENSG00000143224",191,148,172,106,165,164,177,189,"PPOX"
"8431","ENSG00000143226",16,8,47,10,35,15,33,16,"FCGR2A"
"8432","ENSG00000143228",14,11,13,8,10,16,11,11,"NUF2"
"8433","ENSG00000143248",68,57,177,97,178,153,101,73,"RGS5"
"8434","ENSG00000143252",1792,1500,1691,1190,1570,2001,1237,1318,"SDHC"
"8435","ENSG00000143256",298,319,306,190,417,481,215,238,"PFDN2"
"8436","ENSG00000143257",2,7,1,2,7,6,3,8,"NR1I3"
"8437","ENSG00000143258",473,324,495,205,436,351,342,353,"USP21"
"8438","ENSG00000143278",0,0,0,0,0,0,0,0,"F13B"
"8439","ENSG00000143294",709,648,827,452,968,966,560,602,"PRCC"
"8440","ENSG00000143297",0,0,0,0,0,0,0,0,"FCRL5"
"8441","ENSG00000143303",253,281,325,173,281,350,264,319,"RRNAD1"
"8442","ENSG00000143314",509,560,488,278,478,637,374,360,"MRPL24"
"8443","ENSG00000143315",315,208,323,168,318,418,253,258,"PIGM"
"8444","ENSG00000143318",0,1,12,4,5,6,4,4,"CASQ1"
"8445","ENSG00000143319",403,384,492,252,469,600,371,352,"ISG20L2"
"8446","ENSG00000143320",2170,727,3598,481,1914,900,2106,644,"CRABP2"
"8447","ENSG00000143321",3372,3075,4103,1998,4303,4633,3268,2752,"HDGF"
"8448","ENSG00000143322",1024,1055,1120,917,1055,1849,806,1429,"ABL2"
"8449","ENSG00000143324",1042,721,1173,681,1568,1394,873,1020,"XPR1"
"8450","ENSG00000143333",12,24,9,9,13,33,9,11,"RGS16"
"8451","ENSG00000143337",3232,3096,4221,2781,3704,4382,3392,3861,"TOR1AIP1"
"8452","ENSG00000143340",0,0,0,0,0,0,0,0,"FAM163A"
"8453","ENSG00000143341",1557,788,2491,978,1787,1929,2746,2253,"HMCN1"
"8454","ENSG00000143344",1308,561,1990,412,1736,1214,1292,633,"RGL1"
"8455","ENSG00000143353",194,218,262,170,189,285,168,222,"LYPLAL1"
"8456","ENSG00000143355",0,0,0,0,0,0,0,0,"LHX9"
"8457","ENSG00000143363",323,234,310,208,342,341,267,274,"PRUNE1"
"8458","ENSG00000143365",0,0,1,1,0,0,1,1,"RORC"
"8459","ENSG00000143367",126,95,523,168,240,251,194,199,"TUFT1"
"8460","ENSG00000143368",1021,1009,1014,633,1076,1449,762,839,"SF3B4"
"8461","ENSG00000143369",3627,2546,6315,3606,4445,4592,5892,6003,"ECM1"
"8462","ENSG00000143373",623,447,632,297,660,727,518,494,"ZNF687"
"8463","ENSG00000143374",356,290,369,182,299,370,272,282,"TARS2"
"8464","ENSG00000143375",1,2,1,2,0,0,2,2,"CGN"
"8465","ENSG00000143376",818,735,797,533,997,1119,727,797,"SNX27"
"8466","ENSG00000143379",400,335,528,281,530,635,362,385,"SETDB1"
"8467","ENSG00000143382",1845,3342,3156,2840,1599,2925,2564,5548,"ADAMTSL4"
"8468","ENSG00000143384",5216,6239,5170,5153,5463,8590,4410,7338,"MCL1"
"8469","ENSG00000143387",22571,16978,46485,27597,47846,48083,29797,31001,"CTSK"
"8470","ENSG00000143390",759,560,698,292,950,796,557,367,"RFX5"
"8471","ENSG00000143393",1990,1659,2224,1034,2507,2301,1811,1503,"PI4KB"
"8472","ENSG00000143398",1032,1205,1338,1001,1424,2201,941,1233,"PIP5K1A"
"8473","ENSG00000143401",587,440,771,406,689,695,581,438,"ANP32E"
"8474","ENSG00000143409",519,342,669,337,546,421,522,485,"MINDY1"
"8475","ENSG00000143412",80,64,87,58,82,73,82,88,"ANXA9"
"8476","ENSG00000143416",1842,1364,2095,735,1687,1175,1485,786,"SELENBP1"
"8477","ENSG00000143418",1837,1892,2062,1306,2095,2431,1632,2083,"CERS2"
"8478","ENSG00000143420",1619,1386,1761,931,1638,1692,1344,1208,"ENSA"
"8479","ENSG00000143429",1051,837,1059,434,744,675,680,580,"LSP1P4"
"8480","ENSG00000143434",147,202,121,136,146,232,139,331,"SEMA6C"
"8481","ENSG00000143436",208,229,235,159,295,314,224,185,"MRPL9"
"8482","ENSG00000143437",2066,1762,2118,1316,2380,2765,1790,1930,"ARNT"
"8483","ENSG00000143442",1274,934,1557,782,1674,1773,1228,1064,"POGZ"
"8484","ENSG00000143443",119,75,123,71,151,97,94,112,"C1orf56"
"8485","ENSG00000143450",4,4,10,2,9,3,5,6,"OAZ3"
"8486","ENSG00000143452",1,0,0,0,2,2,0,0,"HORMAD1"
"8487","ENSG00000143457",571,421,722,408,681,687,615,521,"GOLPH3L"
"8488","ENSG00000143458",313,336,386,304,422,568,283,305,"GABPB2"
"8489","ENSG00000143466",226,123,278,92,220,263,196,152,NA
"8490","ENSG00000143469",73,38,153,73,117,89,180,98,"SYT14"
"8491","ENSG00000143473",1,1,0,0,2,1,1,0,"KCNH1"
"8492","ENSG00000143476",27,13,23,10,23,10,13,13,"DTL"
"8493","ENSG00000143479",241,174,266,140,319,390,187,182,"DYRK3"
"8494","ENSG00000143486",1425,1270,1689,804,1399,1538,1060,1010,"EIF2D"
"8495","ENSG00000143493",422,290,435,145,479,363,290,200,"INTS7"
"8496","ENSG00000143494",39,2,27,2,56,3,31,2,"VASH2"
"8497","ENSG00000143498",114,66,103,32,131,117,91,69,"TAF1A"
"8498","ENSG00000143499",336,329,305,244,389,595,273,323,"SMYD2"
"8499","ENSG00000143502",0,0,0,0,0,0,0,0,"SUSD4"
"8500","ENSG00000143507",534,220,396,103,541,291,418,164,"DUSP10"
"8501","ENSG00000143512",7,5,11,2,30,9,16,5,"HHIPL2"
"8502","ENSG00000143514",1092,934,1074,854,1332,1411,956,1179,"TP53BP2"
"8503","ENSG00000143515",9327,7466,9269,5922,8523,9948,9050,10192,"ATP8B2"
"8504","ENSG00000143520",4,3,4,1,2,0,3,2,"FLG2"
"8505","ENSG00000143536",0,0,0,0,0,0,0,0,"CRNN"
"8506","ENSG00000143537",1588,1395,1699,919,1515,1771,1286,1526,"ADAM15"
"8507","ENSG00000143543",1501,1280,1344,920,1204,1785,1265,1319,"JTB"
"8508","ENSG00000143545",4366,4386,4972,3302,5803,6730,4514,4704,"RAB13"
"8509","ENSG00000143546",0,0,0,0,0,0,0,0,"S100A8"
"8510","ENSG00000143549",3559,3961,4507,3085,4031,7264,3214,3902,"TPM3"
"8511","ENSG00000143552",1,2,5,0,1,0,1,0,"NUP210L"
"8512","ENSG00000143553",513,424,636,331,640,646,449,447,"SNAPIN"
"8513","ENSG00000143554",405,390,439,251,222,380,406,456,"SLC27A3"
"8514","ENSG00000143556",0,0,0,0,2,2,3,5,"S100A7"
"8515","ENSG00000143569",3847,3711,4404,2619,4757,6413,3226,3859,"UBAP2L"
"8516","ENSG00000143570",2060,2126,2370,1655,2292,3447,1797,2421,"SLC39A1"
"8517","ENSG00000143575",863,758,1056,542,1002,1119,708,731,"HAX1"
"8518","ENSG00000143578",122,103,142,111,133,100,116,123,"CREB3L4"
"8519","ENSG00000143590",12,12,14,4,11,14,8,6,"EFNA3"
"8520","ENSG00000143595",0,0,1,0,0,0,0,0,"AQP10"
"8521","ENSG00000143603",1,2,1,0,1,0,3,0,"KCNN3"
"8522","ENSG00000143612",2657,2525,2700,1924,2917,3767,2077,2556,"C1orf43"
"8523","ENSG00000143614",644,559,658,471,784,817,588,672,"GATAD2B"
"8524","ENSG00000143621",1615,1288,1864,1005,1919,1998,1289,1145,"ILF2"
"8525","ENSG00000143622",339,297,445,270,438,472,329,291,"RIT1"
"8526","ENSG00000143624",2514,1895,2797,1382,2613,2790,2031,2162,"INTS3"
"8527","ENSG00000143627",0,1,0,0,0,0,0,0,"PKLR"
"8528","ENSG00000143630",114,89,95,46,90,66,85,100,"HCN3"
"8529","ENSG00000143631",659,344,370,74,79,69,331,201,"FLG"
"8530","ENSG00000143632",0,3,2,3,0,3,0,3,"ACTA1"
"8531","ENSG00000143633",93,114,147,95,136,173,99,120,"C1orf131"
"8532","ENSG00000143641",4051,4342,3901,2551,4814,6631,3534,4206,"GALNT2"
"8533","ENSG00000143643",162,150,211,210,212,292,184,284,"TTC13"
"8534","ENSG00000143653",898,748,1262,631,1069,1241,766,780,"SCCPDH"
"8535","ENSG00000143669",1092,863,855,576,1237,1149,908,1016,"LYST"
"8536","ENSG00000143674",6,4,2,1,2,5,5,3,"MAP3K21"
"8537","ENSG00000143702",2408,1425,2754,1059,3016,2490,2463,2089,"CEP170"
"8538","ENSG00000143727",960,854,1099,737,1138,1448,792,890,"ACP1"
"8539","ENSG00000143740",611,367,681,275,700,626,538,437,"SNAP47"
"8540","ENSG00000143742",2581,2108,2549,1630,2843,3261,2085,1914,"SRP9"
"8541","ENSG00000143748",275,166,348,155,327,329,244,192,"NVL"
"8542","ENSG00000143751",253,213,280,151,307,317,250,199,"SDE2"
"8543","ENSG00000143753",2060,2373,2420,1827,2859,4700,1956,2445,"DEGS1"
"8544","ENSG00000143756",866,699,1016,645,1093,1410,772,882,"FBXO28"
"8545","ENSG00000143761",5317,5811,6124,3868,5891,9047,4591,6226,"ARF1"
"8546","ENSG00000143768",1,1,0,0,1,0,1,2,"LEFTY2"
"8547","ENSG00000143771",977,1104,1148,967,990,1686,737,1131,"CNIH4"
"8548","ENSG00000143772",1963,1025,1567,621,1505,657,1734,936,"ITPKB"
"8549","ENSG00000143774",2187,2160,2471,1284,2271,3175,1902,2007,"GUK1"
"8550","ENSG00000143776",2088,2006,2666,1550,2853,3213,2004,2045,"CDC42BPA"
"8551","ENSG00000143786",121,38,105,24,135,57,129,39,"CNIH3"
"8552","ENSG00000143793",169,149,149,102,128,217,131,153,"C1orf35"
"8553","ENSG00000143797",739,547,981,563,1053,955,809,765,"MBOAT2"
"8554","ENSG00000143799",1764,1605,1826,926,1859,2376,1513,1431,"PARP1"
"8555","ENSG00000143801",176,171,292,178,347,430,239,313,"PSEN2"
"8556","ENSG00000143811",287,301,302,238,291,487,233,304,"PYCR2"
"8557","ENSG00000143815",664,694,414,307,644,646,491,484,"LBR"
"8558","ENSG00000143816",133,133,151,73,108,97,142,151,"WNT9A"
"8559","ENSG00000143819",2179,1966,2644,1635,3993,3464,2099,1967,"EPHX1"
"8560","ENSG00000143839",1,0,5,0,5,5,2,1,"REN"
"8561","ENSG00000143842",166,174,188,115,176,215,189,241,"SOX13"
"8562","ENSG00000143845",152,145,172,152,137,201,171,276,"ETNK2"
"8563","ENSG00000143847",488,230,580,144,574,1220,585,226,"PPFIA4"
"8564","ENSG00000143850",474,193,921,205,1441,1483,649,277,"PLEKHA6"
"8565","ENSG00000143851",1,0,1,1,1,3,3,0,"PTPN7"
"8566","ENSG00000143858",3,2,7,4,12,8,5,6,"SYT2"
"8567","ENSG00000143862",436,506,525,400,496,680,398,564,"ARL8A"
"8568","ENSG00000143867",852,1171,1326,461,588,1122,917,755,"OSR1"
"8569","ENSG00000143869",26,87,67,110,48,385,37,88,"GDF7"
"8570","ENSG00000143870",3761,2656,3521,1887,3520,5055,2587,2190,"PDIA6"
"8571","ENSG00000143878",1919,4415,2804,3281,2689,5254,1387,4623,"RHOB"
"8572","ENSG00000143882",7,8,11,10,8,20,9,8,"ATP6V1C2"
"8573","ENSG00000143889",904,602,851,400,865,911,629,519,"HNRNPLL"
"8574","ENSG00000143891",761,308,777,220,789,390,752,366,"GALM"
"8575","ENSG00000143919",85,69,137,64,118,79,90,73,"CAMKMT"
"8576","ENSG00000143921",0,0,0,0,1,0,0,0,"ABCG8"
"8577","ENSG00000143924",952,679,1195,538,1277,1640,871,694,"EML4"
"8578","ENSG00000143933",4635,3989,6875,4051,6704,9612,4732,4500,"CALM2"
"8579","ENSG00000143942",8,18,10,12,14,28,6,13,"CHAC2"
"8580","ENSG00000143947",9909,9785,8329,5275,7343,9411,6561,6209,"RPS27A"
"8581","ENSG00000143951",108,80,137,69,109,115,103,95,"WDPCP"
"8582","ENSG00000143952",569,513,622,418,886,952,579,514,"VPS54"
"8583","ENSG00000143954",0,0,0,0,0,0,0,0,"REG3G"
"8584","ENSG00000143970",1507,1146,1682,827,1826,2164,1505,1567,"ASXL2"
"8585","ENSG00000143971",398,428,526,340,523,688,393,457,"ETAA1"
"8586","ENSG00000143977",381,405,405,266,469,653,315,291,"SNRPG"
"8587","ENSG00000143994",1,7,14,4,4,8,3,4,"ABHD1"
"8588","ENSG00000143995",2135,1736,2306,971,2291,2668,1576,1321,"MEIS1"
"8589","ENSG00000144010",1,17,0,0,0,0,1,0,"TRIM43B"
"8590","ENSG00000144015",1,15,0,0,0,0,0,0,"TRIM43"
"8591","ENSG00000144021",1128,995,1510,786,1579,1738,1050,1064,"CIAO1"
"8592","ENSG00000144026",241,164,219,121,343,365,282,222,"ZNF514"
"8593","ENSG00000144028",4813,3619,5383,2485,5872,6338,4012,3883,"SNRNP200"
"8594","ENSG00000144029",633,593,671,435,844,994,476,551,"MRPS5"
"8595","ENSG00000144031",59,58,54,37,80,97,63,73,"ANKRD53"
"8596","ENSG00000144034",189,112,168,75,196,205,143,107,"TPRKB"
"8597","ENSG00000144035",0,0,1,0,1,0,0,1,"NAT8"
"8598","ENSG00000144036",1608,1162,1962,935,1909,1717,1591,1272,"EXOC6B"
"8599","ENSG00000144040",276,223,323,133,287,283,250,165,"SFXN5"
"8600","ENSG00000144043",2909,2761,3078,2100,2902,3470,2552,2745,"TEX261"
"8601","ENSG00000144045",0,0,1,0,0,2,0,0,"DQX1"
"8602","ENSG00000144048",421,367,404,285,505,549,353,335,"DUSP11"
"8603","ENSG00000144057",0,0,0,0,0,0,0,0,"ST6GAL2"
"8604","ENSG00000144061",151,92,221,99,228,190,201,151,"NPHP1"
"8605","ENSG00000144063",86,29,163,43,60,57,222,88,"MALL"
"8606","ENSG00000144115",795,836,550,426,257,384,358,419,"THNSL2"
"8607","ENSG00000144118",1019,1044,1195,865,1111,1576,971,1177,"RALB"
"8608","ENSG00000144119",0,0,0,0,0,0,0,0,"C1QL2"
"8609","ENSG00000144120",77,49,92,31,92,75,73,29,"TMEM177"
"8610","ENSG00000144130",0,0,0,0,0,0,0,0,"NT5DC4"
"8611","ENSG00000144134",489,419,628,297,657,766,459,419,"RABL2A"
"8612","ENSG00000144136",740,495,1060,405,858,855,826,496,"SLC20A1"
"8613","ENSG00000144140",54,23,85,27,58,39,62,47,NA
"8614","ENSG00000144152",41,42,62,33,35,53,54,71,"FBLN7"
"8615","ENSG00000144158",22,22,28,13,9,21,12,14,"SNRPA1P1"
"8616","ENSG00000144161",109,50,136,71,160,120,102,73,"ZC3H8"
"8617","ENSG00000144182",35,36,70,36,47,42,37,45,"LIPT1"
"8618","ENSG00000144188",1,8,0,0,0,0,0,0,"TRIM43CP"
"8619","ENSG00000144191",2,1,200,104,0,1,3,2,"CNGA3"
"8620","ENSG00000144199",251,181,209,133,192,238,164,200,"FAHD2B"
"8621","ENSG00000144214",8,8,11,7,14,13,9,10,"LYG1"
"8622","ENSG00000144218",13,1,9,3,41,22,7,1,"AFF3"
"8623","ENSG00000144224",3133,2596,3379,1973,3875,4239,2938,2913,"UBXN4"
"8624","ENSG00000144227",0,0,0,0,0,0,0,0,"NXPH2"
"8625","ENSG00000144228",341,419,367,344,420,658,309,423,"SPOPL"
"8626","ENSG00000144229",0,0,0,0,0,2,0,0,"THSD7B"
"8627","ENSG00000144230",22,27,14,11,5,23,3,12,"GPR17"
"8628","ENSG00000144231",202,185,234,146,238,342,204,180,"POLR2D"
"8629","ENSG00000144233",578,600,656,483,682,990,529,727,"AMMECR1L"
"8630","ENSG00000144278",7,4,2,3,0,1,3,0,"GALNT13"
"8631","ENSG00000144283",1061,877,1804,850,1687,2169,1131,1150,"PKP4"
"8632","ENSG00000144285",22,18,39,29,30,170,13,27,"SCN1A"
"8633","ENSG00000144290",0,0,0,0,0,0,0,0,"SLC4A10"
"8634","ENSG00000144306",542,365,603,275,661,618,457,420,"SCRN3"
"8635","ENSG00000144320",1739,1672,1835,1465,2036,2567,1569,2210,"LNPK"
"8636","ENSG00000144331",0,0,0,0,0,0,1,0,"ZNF385B"
"8637","ENSG00000144339",11,6,52,13,52,28,20,13,"TMEFF2"
"8638","ENSG00000144354",50,51,46,8,42,72,23,16,"CDCA7"
"8639","ENSG00000144355",0,1,6,3,4,7,4,1,"DLX1"
"8640","ENSG00000144357",1010,1006,1252,949,1274,1759,987,1224,"UBR3"
"8641","ENSG00000144362",35,39,44,63,39,185,27,90,"PHOSPHO2"
"8642","ENSG00000144366",1161,1093,1260,652,1036,1162,1753,1133,"GULP1"
"8643","ENSG00000144369",1902,706,1891,506,2375,1014,1851,633,"FAM171B"
"8644","ENSG00000144381",2454,2143,2820,1464,2980,3697,2141,1909,"HSPD1"
"8645","ENSG00000144395",28,46,18,21,38,29,21,25,"CCDC150"
"8646","ENSG00000144401",127,129,200,87,174,190,171,121,"METTL21A"
"8647","ENSG00000144406",0,0,6,2,1,0,1,1,"UNC80"
"8648","ENSG00000144407",0,0,0,0,0,0,0,0,"PTH2R"
"8649","ENSG00000144410",3,4,12,3,8,7,5,3,"CPO"
"8650","ENSG00000144426",549,441,631,321,606,1047,576,718,"NBEAL1"
"8651","ENSG00000144445",372,367,423,299,459,513,326,399,"KANSL1L"
"8652","ENSG00000144451",257,167,257,155,280,341,208,189,"SPAG16"
"8653","ENSG00000144452",10,3,11,3,7,4,4,0,"ABCA12"
"8654","ENSG00000144455",1764,1438,2089,1246,1687,2034,1724,1661,"SUMF1"
"8655","ENSG00000144460",0,0,0,0,0,0,0,0,"NYAP2"
"8656","ENSG00000144468",640,533,783,425,876,996,640,620,"RHBDD1"
"8657","ENSG00000144476",1747,1202,1794,908,1174,900,1709,2108,"ACKR3"
"8658","ENSG00000144481",1,1,3,0,4,1,0,0,"TRPM8"
"8659","ENSG00000144485",16,33,30,22,16,38,25,27,"HES6"
"8660","ENSG00000144488",145,92,81,18,5,7,39,15,"ESPNL"
"8661","ENSG00000144504",130,112,175,101,163,182,145,117,"ANKMY1"
"8662","ENSG00000144524",487,405,731,341,622,611,485,415,"COPS7B"
"8663","ENSG00000144535",247,216,234,149,264,382,207,216,"DIS3L2"
"8664","ENSG00000144550",2,0,4,0,3,1,1,0,"CPNE9"
"8665","ENSG00000144554",47,37,41,32,42,35,26,30,"FANCD2"
"8666","ENSG00000144559",120,110,158,74,121,157,116,100,"TAMM41"
"8667","ENSG00000144560",531,568,601,293,749,701,497,527,"VGLL4"
"8668","ENSG00000144566",922,851,1146,801,1230,1553,901,976,"RAB5A"
"8669","ENSG00000144567",2710,2263,2827,1656,2816,2869,2572,2491,"RETREG2"
"8670","ENSG00000144579",2003,1806,2017,1137,1907,2423,1720,1782,"CTDSP1"
"8671","ENSG00000144580",588,516,625,334,634,823,461,455,"CNOT9"
"8672","ENSG00000144583",102,127,302,211,107,331,106,222,"MARCHF4"
"8673","ENSG00000144589",326,293,370,204,301,451,245,251,"STK11IP"
"8674","ENSG00000144591",862,682,817,340,743,1127,587,550,"GMPPA"
"8675","ENSG00000144596",7,0,11,3,5,0,2,1,"GRIP2"
"8676","ENSG00000144597",149,137,187,116,254,286,155,173,"EAF1"
"8677","ENSG00000144619",1,0,1,1,1,1,0,0,"CNTN4"
"8678","ENSG00000144635",658,612,648,430,868,849,489,529,"DYNC1LI1"
"8679","ENSG00000144642",1195,1269,1508,1163,1620,2113,1150,1383,"RBMS3"
"8680","ENSG00000144644",28,1,31,5,3,5,30,9,"GADL1"
"8681","ENSG00000144645",160,116,162,55,211,250,125,84,"OSBPL10"
"8682","ENSG00000144647",764,783,688,396,522,560,510,599,"POMGNT2"
"8683","ENSG00000144648",9,23,8,24,9,10,12,93,"ACKR2"
"8684","ENSG00000144649",167,310,104,83,10,34,66,149,"GASK1A"
"8685","ENSG00000144655",130,119,84,61,99,185,103,96,"CSRNP1"
"8686","ENSG00000144659",480,474,496,370,539,624,390,507,"SLC25A38"
"8687","ENSG00000144668",19,8,29,8,16,9,12,7,"ITGA9"
"8688","ENSG00000144671",0,1,1,0,0,2,2,0,"SLC22A14"
"8689","ENSG00000144674",2729,2318,3069,1723,4612,4623,3190,2838,"GOLGA4"
"8690","ENSG00000144677",994,724,998,688,1070,1841,761,826,"CTDSPL"
"8691","ENSG00000144681",244,218,245,168,116,117,305,405,"STAC"
"8692","ENSG00000144711",1209,903,1723,717,1167,1527,1188,1237,"IQSEC1"
"8693","ENSG00000144712",227,166,365,182,236,243,276,303,"CAND2"
"8694","ENSG00000144713",14336,13586,15756,7308,13810,14493,10036,9933,"RPL32"
"8695","ENSG00000144724",1780,3677,2327,2327,3113,6526,1773,3291,"PTPRG"
"8696","ENSG00000144730",1122,655,1616,458,348,259,1246,746,"IL17RD"
"8697","ENSG00000144736",345,263,499,224,504,477,359,274,"SHQ1"
"8698","ENSG00000144741",262,265,297,188,261,354,254,256,"SLC25A26"
"8699","ENSG00000144744",921,982,980,758,1083,1470,708,942,"UBA3"
"8700","ENSG00000144746",4969,5557,5645,5056,5612,9208,4198,6180,"ARL6IP5"
"8701","ENSG00000144747",964,1008,1062,749,1139,1708,875,1151,"TMF1"
"8702","ENSG00000144749",1883,1678,1903,984,2394,3426,2033,2153,"LRIG1"
"8703","ENSG00000144771",1,0,2,0,3,3,0,0,"LRTM1"
"8704","ENSG00000144785",0,0,0,0,0,0,0,0,""
"8705","ENSG00000144791",611,505,663,392,635,879,586,697,"LIMD1"
"8706","ENSG00000144792",49,40,49,26,88,65,35,55,"ZNF660"
"8707","ENSG00000144802",260,406,395,249,462,761,233,410,"NFKBIZ"
"8708","ENSG00000144810",2373,3263,3729,3563,3470,9360,795,2390,"COL8A1"
"8709","ENSG00000144815",893,712,1037,654,1060,913,800,637,"NXPE3"
"8710","ENSG00000144820",0,0,1,0,0,0,0,0,"ADGRG7"
"8711","ENSG00000144821",11,3,10,4,4,2,5,7,"MYH15"
"8712","ENSG00000144824",2105,1431,2608,1083,2483,2345,1523,1216,"PHLDB2"
"8713","ENSG00000144827",404,225,441,185,442,346,426,251,"ABHD10"
"8714","ENSG00000144834",1,0,0,0,0,0,2,1,"TAGLN3"
"8715","ENSG00000144837",9,4,61,32,32,18,60,36,"PLA1A"
"8716","ENSG00000144840",386,315,469,275,417,637,373,366,"RABL3"
"8717","ENSG00000144843",74,86,109,90,74,116,92,96,"ADPRH"
"8718","ENSG00000144847",2,0,0,0,0,0,0,0,"IGSF11"
"8719","ENSG00000144848",681,589,763,434,862,914,535,557,"ATG3"
"8720","ENSG00000144852",0,0,1,2,0,2,0,1,"NR1I2"
"8721","ENSG00000144857",929,1532,1508,1251,776,1482,1284,2384,"BOC"
"8722","ENSG00000144867",538,549,709,429,755,984,594,511,"SRPRB"
"8723","ENSG00000144868",0,0,0,0,3,2,0,0,"TMEM108"
"8724","ENSG00000144891",107,215,59,113,103,78,36,185,"AGTR1"
"8725","ENSG00000144893",34,20,32,18,19,30,29,17,"MED12L"
"8726","ENSG00000144895",1357,1027,1509,758,1583,1568,1171,1108,"EIF2A"
"8727","ENSG00000144908",0,4,0,6,0,7,1,2,"ALDH1L1"
"8728","ENSG00000144909",343,281,380,208,429,448,257,349,"OSBPL11"
"8729","ENSG00000144935",452,411,555,426,497,499,492,544,"TRPC1"
"8730","ENSG00000144959",153,202,361,243,306,534,182,259,"NCEH1"
"8731","ENSG00000144962",0,0,0,0,0,0,0,0,"SPATA16"
"8732","ENSG00000145002",83,47,103,44,92,123,57,46,"FAM86B2"
"8733","ENSG00000145012",4057,4249,4743,3343,4634,12042,3611,4360,"LPP"
